id_synthese,date_debut,date_fin,heure_debut,heure_fin,nom_vernaculaire,nombre_min,observateurs,determinateur,x_centroid_4326,y_centroid_4326,nom_lieu,champs_additionnels
266880,2000-07-18,2000-07-18,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
266881,2000-07-25,2000-07-25,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
266882,2000-10-29,2000-10-29,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
266883,2000-11-02,2000-11-02,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
266884,2000-11-15,2000-11-15,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.515793,43.324984,GB4,{'RELV_NOM': 'ObservationAleatoire'}
266885,2000-12-18,2000-12-18,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.510228,43.314578,PetitPont,{'RELV_NOM': 'ObservationAleatoire'}
266886,2000-12-22,2000-12-22,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
266887,2000-12-31,2000-12-31,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
266888,2000-03-06,2000-03-06,11:00:00,11:00:00,Butor étoilé,3,ADENA,ADENA,3.523936,43.325743,GB2,{'RELV_NOM': 'ObservationAleatoire'}
267073,2001-01-17,2001-01-17,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.520011,43.320659,GB3,{'RELV_NOM': 'ObservationAleatoire'}
267074,2001-01-18,2001-01-18,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.523936,43.325743,GB2,{'RELV_NOM': 'ObservationAleatoire'}
267075,2001-01-20,2001-01-20,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.516403,43.318841,GB5T,{'RELV_NOM': 'ObservationAleatoire'}
267076,2001-10-23,2001-10-23,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.520011,43.320659,GB3,{'RELV_NOM': 'ObservationAleatoire'}
267078,2001-12-12,2001-12-12,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267079,2001-12-19,2001-12-19,15:30:00,15:30:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267080,2001-12-20,2001-12-20,11:30:00,11:30:00,Butor étoilé,1,ADENA,ADENA,3.523936,43.325743,GB2,{'RELV_NOM': 'ObservationAleatoire'}
267081,2001-12-26,2001-12-26,11:30:00,11:30:00,Butor étoilé,1,ADENA,ADENA,3.520011,43.320659,GB3,{'RELV_NOM': 'ObservationAleatoire'}
267082,2001-02-02,2001-02-02,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267239,2002-01-05,2002-01-05,11:00:00,11:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267242,2002-01-30,2002-01-30,16:00:00,16:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267244,2002-03-23,2002-03-23,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267245,2002-03-26,2002-03-26,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267246,2002-04-09,2002-04-09,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267247,2002-04-17,2002-04-17,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267248,2002-10-29,2002-10-29,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.520011,43.320659,GB3,{'RELV_NOM': 'ObservationAleatoire'}
267249,2002-10-29,2002-10-29,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267251,2002-10-31,2002-10-31,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267252,2002-11-04,2002-11-04,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267253,2002-11-19,2002-11-19,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267254,2002-11-29,2002-11-29,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267255,2002-12-13,2002-12-13,09:30:00,09:30:00,Butor étoilé,2,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267256,2002-12-28,2002-12-28,00:00:00,00:00:00,Butor étoilé,2,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267258,2002-12-11,2002-12-11,09:30:00,09:30:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267259,2002-12-17,2002-12-17,11:00:00,11:00:00,Butor étoilé,3,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267260,2002-06-04,2002-06-04,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267261,2002-04-20,2002-04-20,00:00:00,00:00:00,Butor étoilé,3,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267262,2002-07-28,2002-07-28,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267388,2002-01-07,2002-01-07,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267396,2004-01-06,2004-01-06,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267400,2004-01-21,2004-01-21,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267401,2004-01-30,2004-01-30,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267403,2004-02-01,2004-02-01,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.523936,43.325743,GB2,{'RELV_NOM': 'ObservationAleatoire'}
267408,2004-02-11,2004-02-11,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.523936,43.325743,GB2,{'RELV_NOM': 'ObservationAleatoire'}
267410,2004-02-23,2004-02-23,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267412,2004-02-27,2004-02-27,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267561,2004-10-20,2004-10-20,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'ObservationAleatoire'}
267562,2004-11-05,2004-11-05,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.513924,43.31823,GB5,{'RELV_NOM': 'ObservationAleatoire'}
267568,2004-11-13,2004-11-13,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267569,2004-11-16,2004-11-16,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.515793,43.324984,GB4,{'RELV_NOM': 'ObservationAleatoire'}
267577,2004-11-19,2004-11-19,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.520011,43.320659,GB3,{'RELV_NOM': 'ObservationAleatoire'}
267578,2004-11-19,2004-11-19,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.517349,43.329164,GB1,{'RELV_NOM': 'ObservationAleatoire'}
267581,2004-12-07,2004-12-07,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.50753,43.324884,GB8,{'RELV_NOM': 'ObservationAleatoire'}
267583,2004-12-13,2004-12-13,00:00:00,00:00:00,Butor étoilé,1,ADENA,ADENA,3.516403,43.318841,GB5T,{'RELV_NOM': 'ObservationAleatoire'}
